person_id,query_id,query_text,engine,rank,movie_key,movie_title,movie_overview,relevance_grade
P01,30,"A frustrated business owner, struggling with an unfulfilling marriage and an incompetent, bickering workforce, finds his life spiraling into absurdity after he impulsively hires a gigolo to seduce his wife in a misguided attempt to alleviate his own guilt over potential infidelity.",hybrid,1,american_beauty,American Beauty,,2
P01,30,"A frustrated business owner, struggling with an unfulfilling marriage and an incompetent, bickering workforce, finds his life spiraling into absurdity after he impulsively hires a gigolo to seduce his wife in a misguided attempt to alleviate his own guilt over potential infidelity.",hybrid,2,extract,Extract,"The owner of a factory that produces flavor extracts, Joel Reynold seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie. Joel hatches a convoluted plan to ",1
P01,30,"A frustrated business owner, struggling with an unfulfilling marriage and an incompetent, bickering workforce, finds his life spiraling into absurdity after he impulsively hires a gigolo to seduce his wife in a misguided attempt to alleviate his own guilt over potential infidelity.",hybrid,3,"green_mile,_the","Green Mile, The",,0
P01,30,"A frustrated business owner, struggling with an unfulfilling marriage and an incompetent, bickering workforce, finds his life spiraling into absurdity after he impulsively hires a gigolo to seduce his wife in a misguided attempt to alleviate his own guilt over potential infidelity.",hybrid,4,stranger_things,Stranger Things,,0
P01,30,"A frustrated business owner, struggling with an unfulfilling marriage and an incompetent, bickering workforce, finds his life spiraling into absurdity after he impulsively hires a gigolo to seduce his wife in a misguided attempt to alleviate his own guilt over potential infidelity.",hybrid,5,"change_up,_the","Change-Up, The",,0
P01,8,"A group of bumbling, small-time French thieves travels to a foreign city for a high-stakes heist, only to find themselves caught in the middle of a violent, chaotic war between rival mob factions and corrupt federal agents.",hybrid,1,crime_spree,Crime Spree,,2
P01,8,"A group of bumbling, small-time French thieves travels to a foreign city for a high-stakes heist, only to find themselves caught in the middle of a violent, chaotic war between rival mob factions and corrupt federal agents.",hybrid,2,looper,Looper,"In the year 2044, time travel has not yet been invented but in 30 years it will have been. When the mob wants to get rid of someone, they will send their target into the past where a looper, a hired g",1
P01,8,"A group of bumbling, small-time French thieves travels to a foreign city for a high-stakes heist, only to find themselves caught in the middle of a violent, chaotic war between rival mob factions and corrupt federal agents.",hybrid,3,boondock_saints_2:_all_saints_day,Boondock Saints 2: All Saints Day,,0
P01,8,"A group of bumbling, small-time French thieves travels to a foreign city for a high-stakes heist, only to find themselves caught in the middle of a violent, chaotic war between rival mob factions and corrupt federal agents.",hybrid,4,gangs_of_new_york,Gangs of New York,,0
P01,8,"A group of bumbling, small-time French thieves travels to a foreign city for a high-stakes heist, only to find themselves caught in the middle of a violent, chaotic war between rival mob factions and corrupt federal agents.",hybrid,5,killing_zoe,Killing Zoe,,0
P01,17,"A brilliant and high-stakes crisis manager and her elite team of fixers navigate the cutthroat world of Washington D.C. politics, working to protect the reputations of powerful figures while struggling to manage their own personal burdens and complex loyalties.",bm25,1,scandalfinalpilottvscriptpdf,Scandal Final Pilot TV Script PDF,"Harmlessly flirting with a worldly artist, Beatrix is outraged when he tries to put the moves on her, and she storms indignantly out of his Greenwich Village studio. Alas, her visits to the lecherous ",0
P01,17,"A brilliant and high-stakes crisis manager and her elite team of fixers navigate the cutthroat world of Washington D.C. politics, working to protect the reputations of powerful figures while struggling to manage their own personal burdens and complex loyalties.",bm25,2,scandalearlypilot2tvscriptpdf,Scandal Early Pilot 2 TV Script PDF,The earthquake in Tehran will happen and people are avoiding it.,0
P01,17,"A brilliant and high-stakes crisis manager and her elite team of fixers navigate the cutthroat world of Washington D.C. politics, working to protect the reputations of powerful figures while struggling to manage their own personal burdens and complex loyalties.",bm25,3,adjustmentbureau,"Adjustment Bureau, The","A man glimpses the future Fate has planned for him - and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his d",0
P01,17,"A brilliant and high-stakes crisis manager and her elite team of fixers navigate the cutthroat world of Washington D.C. politics, working to protect the reputations of powerful figures while struggling to manage their own personal burdens and complex loyalties.",bm25,4,gijane,G.I. Jane,"In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its combat services. The program begins with ",0
P01,17,"A brilliant and high-stakes crisis manager and her elite team of fixers navigate the cutthroat world of Washington D.C. politics, working to protect the reputations of powerful figures while struggling to manage their own personal burdens and complex loyalties.",bm25,5,gangsofnewyork,Gangs of New York,"In early 1860s New York, Irish immigrant Amsterdam Vallon is released from prison and returns to the Five Points, seeking revenge against his father's killer, William Cutting, a powerful anti-immigran",0
P01,32,"A weary, synthetic law enforcement officer uncovers a long-buried secret about his own origins while searching for a legendary retired investigator, ultimately questioning the nature of the soul in a decaying, rain-drenched future.",bm25,1,beekeeper,"Beekeeper, The",One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,2
P01,32,"A weary, synthetic law enforcement officer uncovers a long-buried secret about his own origins while searching for a legendary retired investigator, ultimately questioning the nature of the soul in a decaying, rain-drenched future.",bm25,2,jfk,JFK,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,1
P01,32,"A weary, synthetic law enforcement officer uncovers a long-buried secret about his own origins while searching for a legendary retired investigator, ultimately questioning the nature of the soul in a decaying, rain-drenched future.",bm25,3,surrogates,Surrogates,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of oth",0
P01,32,"A weary, synthetic law enforcement officer uncovers a long-buried secret about his own origins while searching for a legendary retired investigator, ultimately questioning the nature of the soul in a decaying, rain-drenched future.",bm25,4,virtuosity,Virtuosity,"The Law Enforcement Technology Advancement Centre (LETAC) has developed SID version 6.7: a Sadistic, Intelligent, and Dangerous virtual reality entity which is synthesized from the personalities of mo",0
P01,32,"A weary, synthetic law enforcement officer uncovers a long-buried secret about his own origins while searching for a legendary retired investigator, ultimately questioning the nature of the soul in a decaying, rain-drenched future.",bm25,5,8mm,8MM,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows ",0
P01,10,"A legendary retired assassin, forced back into a world of shadow and violence, seeks to reclaim his freedom by challenging the global criminal hierarchy to a high-stakes duel that will determine his ultimate fate.",bm25,1,avenge,Avenge,"Once upon a time in Little Italy, a mob widow plots to avenge the death of her husband with the help of the local gypsies. Her vendetta involves supernatural machinations which help to control the fat",0
P01,10,"A legendary retired assassin, forced back into a world of shadow and violence, seeks to reclaim his freedom by challenging the global criminal hierarchy to a high-stakes duel that will determine his ultimate fate.",bm25,2,tronlegacy,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evi",0
P01,10,"A legendary retired assassin, forced back into a world of shadow and violence, seeks to reclaim his freedom by challenging the global criminal hierarchy to a high-stakes duel that will determine his ultimate fate.",bm25,3,princessbride,"Princess Bride, The","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicili",0
P01,10,"A legendary retired assassin, forced back into a world of shadow and violence, seeks to reclaim his freedom by challenging the global criminal hierarchy to a high-stakes duel that will determine his ultimate fate.",bm25,4,fantasticbeastssecretsofdumbledore,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to ",0
P01,10,"A legendary retired assassin, forced back into a world of shadow and violence, seeks to reclaim his freedom by challenging the global criminal hierarchy to a high-stakes duel that will determine his ultimate fate.",bm25,5,threemusketeers,"Three Musketeers, The","The Three Musketeers (Dede Santana, Mussum, Zachariah) work at home Sra. Ana Rocha (Rosita Tomaz) and has the difficult task of going in Foz do Iguacu retrieve an emerald necklace, with which the plan",0
P01,13,"An aging, unmarried monarch struggles to maintain her nation's independence and her own personal freedom amidst religious conflict, the constant threat of foreign invasion, and the complex, forbidden desire for a dashing explorer.",hybrid,1,"three_musketeers,_the","Three Musketeers, The",,0
P01,13,"An aging, unmarried monarch struggles to maintain her nation's independence and her own personal freedom amidst religious conflict, the constant threat of foreign invasion, and the complex, forbidden desire for a dashing explorer.",hybrid,2,anonymous,Anonymous,A man finds himself homeless after a fight with his significant other.,0
P01,13,"An aging, unmarried monarch struggles to maintain her nation's independence and her own personal freedom amidst religious conflict, the constant threat of foreign invasion, and the complex, forbidden desire for a dashing explorer.",hybrid,3,mary_queen_of_scots,Mary Queen of Scots,,0
P01,13,"An aging, unmarried monarch struggles to maintain her nation's independence and her own personal freedom amidst religious conflict, the constant threat of foreign invasion, and the complex, forbidden desire for a dashing explorer.",hybrid,4,elizabeth:_the_golden_age,Elizabeth: The Golden Age,,0
P01,13,"An aging, unmarried monarch struggles to maintain her nation's independence and her own personal freedom amidst religious conflict, the constant threat of foreign invasion, and the complex, forbidden desire for a dashing explorer.",hybrid,5,1492:_conquest_of_paradise,1492: Conquest of Paradise,,0
P01,18,"A boundary-pushing performance artist and eccentric entertainer struggles to find a balance between his genuine desire for artistic integrity and his constant need to blur the lines between reality and elaborate, often alienating, public pranks.",bm25,1,elvis,Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",0
P01,18,"A boundary-pushing performance artist and eccentric entertainer struggles to find a balance between his genuine desire for artistic integrity and his constant need to blur the lines between reality and elaborate, often alienating, public pranks.",bm25,2,marriagestory,Marriage Story,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",0
P01,18,"A boundary-pushing performance artist and eccentric entertainer struggles to find a balance between his genuine desire for artistic integrity and his constant need to blur the lines between reality and elaborate, often alienating, public pranks.",bm25,3,stuntman,"Stuntman, The",The Chinese Stuntman was a Bruceploitation film released in 1981. Bruce Li (who also directs) plays an insurance salesman who ends up working as a stuntman on a Hong Kong movie.,0
P01,18,"A boundary-pushing performance artist and eccentric entertainer struggles to find a balance between his genuine desire for artistic integrity and his constant need to blur the lines between reality and elaborate, often alienating, public pranks.",bm25,4,simone,Simone,"A mysterious, erotic and haunting love story between a writer/professor at Puerto Rico's leading University and an aspiring artist from the immigrant Chinese community.",0
P01,18,"A boundary-pushing performance artist and eccentric entertainer struggles to find a balance between his genuine desire for artistic integrity and his constant need to blur the lines between reality and elaborate, often alienating, public pranks.",bm25,5,8mm,8MM,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows ",0
P01,7,"A manipulative and precocious teenager navigates her dysfunctional home life by orchestrating a series of dark, calculated schemes to eliminate her unloving mother and seduce her wealthy stepfather.",hybrid,1,mini's_first_time,Mini's First Time,,2
P01,7,"A manipulative and precocious teenager navigates her dysfunctional home life by orchestrating a series of dark, calculated schemes to eliminate her unloving mother and seduce her wealthy stepfather.",hybrid,2,ten_things_i_hate_about_you,Ten Things I Hate About You,,0
P01,7,"A manipulative and precocious teenager navigates her dysfunctional home life by orchestrating a series of dark, calculated schemes to eliminate her unloving mother and seduce her wealthy stepfather.",hybrid,3,"help,_the","Help, The",,0
P01,7,"A manipulative and precocious teenager navigates her dysfunctional home life by orchestrating a series of dark, calculated schemes to eliminate her unloving mother and seduce her wealthy stepfather.",hybrid,4,american_beauty,American Beauty,,0
P01,7,"A manipulative and precocious teenager navigates her dysfunctional home life by orchestrating a series of dark, calculated schemes to eliminate her unloving mother and seduce her wealthy stepfather.",hybrid,5,cherry_falls,Cherry Falls,,0
